crop,state,season,soil_type,rainfall_mm,temperature_c,ph,nitrogen,phosphorus,potassium,land_area_acres,yield_per_acre,total_yield
Maize,Uttar Pradesh,Kharif,Alluvial,1622.1,23.0,7.7,226.2,28.1,100.3,14.3,26.93,383.91
Cotton,Karnataka,Kharif,Clay,1175.6,19.4,8.0,222.4,74.8,182.4,14.1,10.86,152.79
Potato,Punjab,Zaid,Red Soil,533.6,28.7,6.7,98.6,52.3,135.1,8.1,105.07,852.28
Soybean,Madhya Pradesh,Kharif,Red Soil,605.1,20.8,8.2,254.5,98.8,221.8,10.3,12.36,127.66
Wheat,Karnataka,Zaid,Black Soil,1058.2,29.2,7.6,149.0,38.4,119.5,2.5,19.74,48.65
Wheat,Punjab,Zaid,Sandy Loam,1980.7,29.6,5.9,262.8,46.4,50.4,9.8,19.4,189.73
Wheat,Karnataka,Zaid,Alluvial,1031.9,36.4,6.8,60.7,92.1,189.4,18.1,23.91,431.71
Groundnut,Karnataka,Rabi,Black Soil,1752.0,31.8,7.8,194.2,51.8,182.2,1.4,11.93,17.11
Maize,Punjab,Zaid,Black Soil,990.3,19.2,6.8,195.9,77.4,81.0,15.5,29.72,461.74
Tomato,Uttar Pradesh,Kharif,Sandy Loam,563.4,22.5,8.3,106.1,34.2,77.8,14.6,98.13,1435.7
Potato,Gujarat,Kharif,Alluvial,1473.6,35.0,7.4,200.4,40.0,54.8,19.1,113.82,2170.04
Groundnut,Gujarat,Zaid,Sandy Loam,821.4,15.5,7.8,190.4,63.4,102.7,4.4,11.33,50.16
Wheat,Gujarat,Zaid,Loamy,1594.9,15.4,8.4,157.3,75.9,121.0,8.4,19.11,159.65
Cotton,Uttar Pradesh,Zaid,Sandy Loam,881.1,23.2,7.0,180.9,51.0,173.8,15.5,8.41,129.96
Onion,Uttar Pradesh,Kharif,Black Soil,1926.6,22.8,7.0,283.3,81.4,104.2,11.3,93.27,1058.07
Chickpea,Gujarat,Kharif,Clay,1758.4,23.2,6.5,234.3,99.1,182.2,2.2,11.36,24.68
Groundnut,Uttar Pradesh,Kharif,Loamy,792.3,18.4,7.3,215.4,83.0,183.2,14.0,14.79,207.6
Potato,Gujarat,Zaid,Black Soil,989.6,27.2,8.3,161.1,65.4,135.3,17.7,96.64,1713.95
Wheat,Punjab,Rabi,Black Soil,1595.9,34.3,8.2,262.5,21.9,195.4,12.8,17.5,224.39
Wheat,Karnataka,Rabi,Red Soil,305.6,25.7,5.3,287.6,50.4,220.1,16.8,16.36,274.3
Maize,Maharashtra,Rabi,Sandy Loam,1655.3,18.4,8.4,245.5,59.4,212.1,19.1,23.66,452.81
Soybean,Punjab,Zaid,Clay,1106.0,35.0,6.1,184.6,73.1,103.5,18.3,15.14,276.56
Mustard,Maharashtra,Zaid,Clay,1264.6,26.3,7.4,108.5,90.4,165.4,12.6,9.57,120.42
Wheat,Punjab,Rabi,Black Soil,372.2,23.3,6.5,242.2,97.7,161.6,17.7,18.51,327.4
Onion,Uttar Pradesh,Zaid,Alluvial,714.0,26.8,7.5,267.6,87.5,233.1,16.9,132.48,2234.28
Soybean,Punjab,Zaid,Black Soil,1102.3,26.5,6.8,156.4,55.4,147.6,15.9,15.87,252.89
Mustard,Karnataka,Kharif,Clay,904.8,23.4,8.2,114.4,45.7,222.5,14.1,6.9,97.59
Cotton,Maharashtra,Zaid,Alluvial,533.0,36.3,6.6,286.0,97.5,181.3,3.1,11.17,34.69
Rice,Gujarat,Kharif,Black Soil,399.9,20.9,5.8,112.8,36.9,226.1,14.1,18.47,259.54
Sugarcane,Uttar Pradesh,Zaid,Black Soil,340.5,15.3,7.5,170.7,30.3,73.9,9.5,291.05,2772.63
Maize,Uttar Pradesh,Kharif,Black Soil,1871.1,36.1,5.3,173.0,40.8,209.3,3.6,26.21,94.5
Maize,Madhya Pradesh,Rabi,Clay,512.2,25.5,7.3,126.1,74.4,240.2,14.1,28.43,400.78
Tomato,Gujarat,Rabi,Black Soil,1641.9,22.4,6.4,168.6,52.2,171.3,5.0,152.04,765.75
Groundnut,Gujarat,Rabi,Alluvial,1700.7,37.9,7.5,209.2,57.5,132.1,12.3,14.16,173.67
Mustard,Karnataka,Zaid,Alluvial,562.7,35.9,8.1,203.9,52.0,96.1,4.9,9.3,45.84
Sugarcane,Punjab,Rabi,Red Soil,1534.5,22.3,6.6,217.1,88.1,156.5,8.4,399.34,3341.64
Mustard,Gujarat,Kharif,Red Soil,836.1,17.8,7.3,145.5,48.2,95.0,16.7,10.16,169.31
Maize,Madhya Pradesh,Rabi,Black Soil,1185.0,31.0,6.7,239.4,36.7,97.3,2.3,25.97,59.38
Tomato,Uttar Pradesh,Kharif,Clay,1942.4,21.4,6.6,155.2,65.4,92.1,16.3,118.3,1926.3
Groundnut,Punjab,Rabi,Loamy,1690.6,20.0,5.7,283.2,32.2,246.1,10.6,12.99,138.11
Maize,Maharashtra,Zaid,Alluvial,1736.0,24.3,6.8,51.3,52.7,176.0,14.5,32.82,477.4
Onion,Gujarat,Rabi,Clay,1364.9,24.2,6.7,127.6,86.2,90.9,8.7,92.28,799.47
Maize,Uttar Pradesh,Kharif,Loamy,1004.4,18.3,5.0,216.1,78.8,127.5,11.0,24.6,269.7
Onion,Punjab,Zaid,Loamy,1849.6,24.5,6.3,194.8,37.3,211.4,3.9,118.69,459.81
Maize,Karnataka,Rabi,Alluvial,953.9,25.6,6.9,99.0,26.2,68.2,12.8,31.08,396.53
Maize,Uttar Pradesh,Rabi,Loamy,1393.4,37.4,6.3,73.1,40.9,69.1,10.2,26.7,271.86
Maize,Maharashtra,Zaid,Red Soil,788.9,20.6,7.6,155.7,63.8,173.3,2.6,26.4,69.9
Sugarcane,Madhya Pradesh,Zaid,Alluvial,1170.2,36.2,7.5,208.2,90.9,139.5,13.5,521.49,7062.96
Onion,Karnataka,Kharif,Loamy,963.6,17.1,6.4,198.7,92.6,147.4,4.3,116.44,496.85
Potato,Uttar Pradesh,Kharif,Sandy Loam,620.6,20.6,5.7,182.6,55.2,109.2,5.0,119.77,593.78
Maize,Maharashtra,Kharif,Black Soil,778.2,33.6,5.8,122.8,97.1,112.1,7.9,28.17,222.81
Soybean,Karnataka,Zaid,Clay,895.6,21.0,7.5,217.8,69.3,124.1,18.7,15.7,294.43
Chickpea,Uttar Pradesh,Kharif,Sandy Loam,1460.1,26.3,6.4,212.9,95.4,98.5,10.2,9.42,96.14
Potato,Punjab,Rabi,Clay,1749.6,18.1,5.7,97.1,57.5,222.4,6.1,107.9,653.54
Chickpea,Maharashtra,Kharif,Red Soil,810.3,28.7,6.5,264.4,28.0,50.9,13.0,10.19,132.04
Chickpea,Maharashtra,Rabi,Loamy,671.8,28.0,7.1,270.6,69.6,243.3,10.8,12.32,132.55
Onion,Uttar Pradesh,Kharif,Alluvial,1762.6,36.2,8.1,78.7,92.7,161.9,4.4,75.82,336.99
Onion,Punjab,Zaid,Red Soil,349.2,26.5,7.0,95.8,55.5,199.6,6.7,82.14,547.84
Groundnut,Maharashtra,Kharif,Red Soil,734.7,19.8,6.2,182.2,77.4,213.9,15.3,13.84,212.02
Wheat,Karnataka,Rabi,Red Soil,504.6,37.2,7.6,288.0,41.2,89.9,1.4,22.5,32.62
Sugarcane,Gujarat,Zaid,Alluvial,780.7,37.9,6.8,201.4,21.2,89.0,18.1,419.21,7592.66
Maize,Karnataka,Kharif,Black Soil,1839.9,33.8,7.9,135.2,76.9,195.4,15.1,24.49,369.06
Tomato,Gujarat,Zaid,Sandy Loam,1926.7,16.9,5.7,200.4,44.5,173.6,6.9,114.14,789.21
Soybean,Madhya Pradesh,Rabi,Alluvial,1725.7,15.6,5.2,214.3,95.2,192.2,16.7,14.6,244.27
Mustard,Maharashtra,Rabi,Loamy,1736.1,30.2,5.8,250.6,24.4,222.7,11.6,11.26,130.85
Potato,Madhya Pradesh,Zaid,Loamy,1700.0,23.3,5.7,245.5,52.6,146.5,11.2,113.65,1278.2
Cotton,Punjab,Rabi,Loamy,324.2,21.4,6.5,147.9,47.8,111.6,11.6,6.96,80.66
Soybean,Karnataka,Rabi,Black Soil,1170.2,29.7,7.2,283.3,31.9,69.2,15.6,13.25,207.23
Cotton,Punjab,Rabi,Red Soil,1183.8,37.5,8.0,236.3,59.0,144.7,5.5,9.18,50.61
Cotton,Karnataka,Kharif,Loamy,1643.7,28.4,6.9,155.9,69.5,210.2,4.3,9.77,42.3
Rice,Punjab,Rabi,Sandy Loam,1591.1,23.1,7.7,234.1,58.4,68.8,19.1,19.8,377.22
Wheat,Madhya Pradesh,Zaid,Alluvial,543.8,34.0,8.0,94.5,41.2,183.8,2.9,18.67,54.7
Rice,Uttar Pradesh,Rabi,Sandy Loam,1717.9,36.0,8.1,173.1,91.8,105.0,19.0,19.02,360.6
Rice,Punjab,Kharif,Clay,1079.8,17.9,8.0,260.1,94.9,186.6,12.8,27.51,351.41
Cotton,Madhya Pradesh,Kharif,Clay,1603.2,15.7,5.8,91.8,21.4,198.9,4.9,7.65,37.45
Onion,Punjab,Rabi,Black Soil,380.4,32.9,6.8,189.8,33.0,62.6,19.8,73.88,1463.37
Rice,Madhya Pradesh,Zaid,Black Soil,535.0,17.3,8.4,237.3,73.4,157.5,16.6,20.73,343.67
Tomato,Uttar Pradesh,Zaid,Clay,571.4,34.3,6.0,233.6,44.6,214.8,1.9,169.18,328.98
Groundnut,Maharashtra,Kharif,Black Soil,1791.4,34.4,6.7,234.5,57.4,210.2,7.5,13.93,104.07
Groundnut,Gujarat,Zaid,Black Soil,1168.9,27.1,7.4,105.1,53.6,234.8,15.9,13.03,206.66
Wheat,Karnataka,Rabi,Red Soil,1726.6,28.5,6.1,229.9,97.6,244.3,2.7,23.9,63.6
Onion,Karnataka,Zaid,Black Soil,1652.5,15.5,6.4,206.6,29.0,131.9,10.9,97.67,1060.96
Maize,Uttar Pradesh,Zaid,Black Soil,600.3,19.2,7.7,251.5,51.6,80.1,6.1,31.91,196.15
Groundnut,Karnataka,Rabi,Sandy Loam,625.4,24.1,7.6,174.2,22.8,164.0,12.7,9.19,117.07
Groundnut,Uttar Pradesh,Zaid,Clay,1114.8,21.8,5.1,231.9,38.1,200.3,10.8,10.69,114.96
Tomato,Uttar Pradesh,Rabi,Alluvial,436.1,30.2,7.3,67.5,62.4,167.2,19.7,139.76,2750.12
Maize,Madhya Pradesh,Rabi,Alluvial,339.1,21.6,6.5,277.8,77.1,243.6,3.1,31.21,96.08
Cotton,Madhya Pradesh,Zaid,Sandy Loam,1585.3,30.0,5.7,295.4,64.0,67.1,16.6,9.34,154.82
Chickpea,Maharashtra,Kharif,Sandy Loam,1748.9,22.5,7.6,206.3,91.7,187.1,2.8,8.68,23.93
Maize,Punjab,Zaid,Clay,490.5,25.7,7.0,173.1,57.2,164.9,2.5,31.8,80.72
Mustard,Madhya Pradesh,Kharif,Clay,626.0,35.5,7.7,258.2,70.0,124.2,8.9,8.57,76.08
Mustard,Karnataka,Rabi,Sandy Loam,1354.4,24.0,7.8,180.2,33.9,230.4,13.6,8.8,119.22
Maize,Uttar Pradesh,Zaid,Black Soil,1173.4,22.1,7.3,166.3,29.4,156.2,14.8,28.02,413.71
Potato,Karnataka,Rabi,Sandy Loam,1500.3,35.3,6.0,214.5,64.9,84.8,17.2,90.61,1557.41
Soybean,Punjab,Zaid,Alluvial,1606.9,30.4,7.2,182.2,61.7,169.5,4.2,16.62,69.06
Potato,Gujarat,Rabi,Red Soil,1752.5,16.9,5.8,69.4,49.4,127.9,3.1,114.62,353.48
Sugarcane,Punjab,Rabi,Clay,916.0,25.8,7.6,124.0,86.6,112.3,6.6,401.65,2651.03
Soybean,Maharashtra,Zaid,Red Soil,332.1,31.7,7.5,220.3,48.9,145.5,18.9,12.97,245.47
Mustard,Madhya Pradesh,Kharif,Loamy,754.1,22.1,7.0,64.2,88.2,105.6,4.2,11.06,46.47
Wheat,Punjab,Rabi,Loamy,940.9,28.7,8.1,267.2,53.9,214.0,15.0,22.43,336.92
Wheat,Gujarat,Zaid,Alluvial,1423.0,33.6,7.1,143.1,63.8,196.0,19.9,23.41,465.5
Sugarcane,Uttar Pradesh,Rabi,Sandy Loam,788.8,31.0,6.6,96.8,74.1,198.2,15.0,460.93,6904.48
Chickpea,Maharashtra,Kharif,Red Soil,1257.3,29.3,7.9,155.8,69.9,221.6,14.3,10.39,148.62
Mustard,Karnataka,Kharif,Alluvial,1988.7,16.3,6.0,246.0,80.6,189.5,8.7,9.66,83.67
Potato,Karnataka,Kharif,Sandy Loam,634.5,34.4,6.3,204.8,22.0,68.0,19.7,120.46,2369.64
Groundnut,Uttar Pradesh,Kharif,Sandy Loam,1107.8,31.8,5.5,99.4,63.4,206.1,8.7,10.34,90.16
Potato,Gujarat,Kharif,Loamy,504.0,21.7,8.4,63.3,97.3,166.8,13.8,102.57,1416.57
Onion,Madhya Pradesh,Zaid,Red Soil,1483.6,27.9,7.5,134.3,52.4,78.8,6.3,89.9,568.37
Chickpea,Punjab,Kharif,Alluvial,622.2,15.2,7.7,280.8,37.9,131.1,5.4,11.16,60.37
Groundnut,Karnataka,Kharif,Red Soil,1362.5,23.1,5.2,246.4,44.9,77.3,14.5,10.27,149.15
Rice,Punjab,Kharif,Sandy Loam,1683.5,27.1,8.0,205.4,27.2,158.7,19.3,17.99,347.56
Chickpea,Madhya Pradesh,Rabi,Black Soil,1717.5,31.1,7.0,225.5,35.0,128.4,14.7,8.39,123.77
Chickpea,Gujarat,Kharif,Red Soil,649.6,29.4,7.6,129.9,53.4,246.0,19.8,8.7,172.26
Soybean,Maharashtra,Rabi,Loamy,1184.8,17.0,5.1,130.8,67.6,166.6,2.3,13.76,31.06
Mustard,Maharashtra,Rabi,Red Soil,1321.0,20.1,7.5,132.9,70.0,99.6,19.7,8.92,176.03
Potato,Punjab,Rabi,Clay,909.6,17.8,8.0,271.5,86.8,96.9,12.8,124.94,1600.2
Sugarcane,Punjab,Zaid,Red Soil,1632.8,23.9,5.7,105.1,58.6,144.2,12.2,384.29,4700.22
Maize,Uttar Pradesh,Kharif,Sandy Loam,1194.3,31.9,5.3,250.3,97.3,234.1,7.2,25.46,184.04
Wheat,Gujarat,Rabi,Alluvial,478.6,37.0,6.2,142.3,58.7,176.3,13.0,25.01,326.31
Cotton,Gujarat,Rabi,Loamy,1419.2,16.2,7.4,108.3,55.9,69.1,19.1,10.13,193.99
Tomato,Madhya Pradesh,Zaid,Clay,459.6,32.6,8.4,102.8,53.0,58.5,8.8,94.04,829.0
Wheat,Uttar Pradesh,Kharif,Red Soil,1297.9,20.1,6.1,175.9,74.7,122.2,14.9,22.05,327.91
Wheat,Madhya Pradesh,Zaid,Red Soil,909.8,19.3,6.9,129.3,21.5,142.3,4.0,20.52,81.9
Soybean,Karnataka,Zaid,Sandy Loam,1241.7,37.1,8.4,83.4,44.0,203.1,4.1,11.55,46.96
Rice,Gujarat,Zaid,Black Soil,338.2,19.0,6.1,163.3,51.6,182.4,18.3,18.97,346.45
Rice,Gujarat,Zaid,Sandy Loam,1477.6,35.3,7.9,91.3,42.9,64.2,18.6,18.07,335.67
Soybean,Karnataka,Kharif,Alluvial,721.9,19.3,5.9,243.7,44.0,75.5,19.4,17.09,331.36
Groundnut,Uttar Pradesh,Kharif,Clay,850.8,16.0,6.1,105.7,65.2,148.4,11.1,13.66,151.55
Groundnut,Karnataka,Kharif,Sandy Loam,525.4,26.8,6.6,98.7,79.3,72.9,10.8,9.65,104.16
Onion,Karnataka,Kharif,Black Soil,923.5,23.6,6.4,153.3,97.3,143.3,19.4,117.53,2276.2
Maize,Madhya Pradesh,Zaid,Black Soil,1052.4,36.0,6.9,146.4,86.2,62.8,12.8,29.48,376.31
Rice,Maharashtra,Kharif,Clay,1873.0,35.4,5.8,204.5,61.0,117.2,8.6,24.76,211.96
Tomato,Karnataka,Kharif,Sandy Loam,1220.2,34.2,7.3,64.0,36.8,84.6,16.7,136.31,2270.62
Wheat,Karnataka,Zaid,Red Soil,315.8,18.7,7.4,68.2,20.8,95.0,3.5,15.97,55.28
Sugarcane,Uttar Pradesh,Kharif,Black Soil,1403.5,32.5,6.3,278.2,67.6,208.2,16.3,503.49,8222.51
Tomato,Punjab,Rabi,Clay,1808.3,28.6,8.0,102.9,20.3,77.0,13.3,98.8,1309.37
Maize,Gujarat,Kharif,Black Soil,1390.5,28.1,5.7,246.7,83.5,139.5,15.0,35.36,529.99
Cotton,Gujarat,Kharif,Red Soil,1763.2,30.6,8.0,119.1,94.0,237.5,4.2,9.89,41.38
Sugarcane,Maharashtra,Zaid,Loamy,389.3,19.0,6.0,171.4,80.0,70.6,9.7,317.27,3088.93
Potato,Uttar Pradesh,Rabi,Red Soil,941.3,29.0,7.1,59.5,54.6,53.6,18.4,112.76,2074.83
Cotton,Karnataka,Rabi,Loamy,781.9,25.2,7.0,210.6,94.6,232.3,2.9,12.14,35.2
Maize,Madhya Pradesh,Zaid,Red Soil,818.3,15.4,5.3,258.9,51.8,176.1,10.3,26.44,272.12
Mustard,Maharashtra,Kharif,Red Soil,1022.8,29.8,8.4,203.3,95.0,53.7,4.9,7.13,35.21
Tomato,Maharashtra,Kharif,Loamy,679.4,37.2,7.5,222.2,94.5,193.3,17.5,194.49,3404.73
Chickpea,Karnataka,Kharif,Alluvial,477.6,17.1,5.4,198.5,66.5,144.4,11.3,9.41,106.53
Tomato,Maharashtra,Kharif,Alluvial,590.3,18.9,6.6,162.9,91.5,221.9,2.8,188.3,528.94
Potato,Karnataka,Zaid,Red Soil,1745.9,24.3,7.6,130.3,68.5,110.4,19.1,112.28,2143.03
Sugarcane,Madhya Pradesh,Kharif,Alluvial,701.1,33.7,7.8,215.9,71.9,127.5,19.5,463.25,9013.95
Mustard,Punjab,Kharif,Loamy,690.8,29.7,5.8,222.4,50.7,234.6,2.9,11.21,32.78
Tomato,Maharashtra,Rabi,Loamy,1972.9,23.3,5.8,235.1,71.1,169.1,15.6,146.85,2292.23
Chickpea,Gujarat,Kharif,Sandy Loam,1496.2,20.4,6.3,296.2,51.0,235.8,11.3,10.48,118.41
Mustard,Uttar Pradesh,Kharif,Red Soil,1913.9,30.3,6.7,199.5,52.0,95.0,5.8,9.36,54.55
Mustard,Gujarat,Rabi,Black Soil,1123.1,37.1,8.0,64.3,32.7,108.6,6.5,7.26,47.22
Mustard,Karnataka,Rabi,Red Soil,915.1,33.3,5.9,268.3,57.0,130.5,9.2,10.42,95.72
Sugarcane,Madhya Pradesh,Kharif,Loamy,1731.9,15.0,5.3,162.3,85.6,197.7,4.7,345.27,1639.69
Onion,Punjab,Zaid,Clay,409.9,16.2,5.0,83.1,23.2,123.2,3.4,72.15,244.53
Sugarcane,Madhya Pradesh,Rabi,Loamy,410.5,20.9,5.5,152.9,21.5,187.0,4.1,303.23,1231.58
Maize,Madhya Pradesh,Zaid,Black Soil,1505.2,27.4,6.5,241.8,24.2,238.7,19.3,28.22,544.57
Mustard,Karnataka,Kharif,Loamy,1781.5,31.2,8.1,157.0,95.1,66.2,7.2,8.95,64.86
Tomato,Maharashtra,Rabi,Alluvial,1318.0,19.8,7.8,273.9,56.9,223.3,13.5,143.17,1938.6
Onion,Madhya Pradesh,Rabi,Red Soil,747.1,37.2,5.1,237.4,84.1,96.2,14.8,77.08,1140.47
Rice,Madhya Pradesh,Zaid,Black Soil,1466.4,22.5,7.5,254.0,32.6,207.4,10.8,24.55,265.09
Onion,Uttar Pradesh,Zaid,Alluvial,943.7,18.7,5.2,274.4,69.1,101.8,18.6,88.08,1641.14
Sugarcane,Maharashtra,Zaid,Red Soil,1689.8,31.0,7.2,203.1,66.4,79.9,4.5,344.12,1543.63
Onion,Maharashtra,Kharif,Alluvial,618.6,22.3,8.1,76.2,42.0,80.7,18.2,87.7,1592.54
Sugarcane,Gujarat,Rabi,Black Soil,1292.5,18.9,5.9,90.5,47.9,149.4,17.6,351.5,6199.61
Maize,Punjab,Kharif,Alluvial,730.4,29.1,7.5,79.1,95.8,139.7,11.2,27.56,307.99
Soybean,Karnataka,Zaid,Sandy Loam,676.2,35.4,7.5,293.0,39.7,228.3,7.4,14.77,110.04
Onion,Maharashtra,Zaid,Black Soil,445.6,24.5,6.8,139.1,78.9,248.5,6.3,90.04,563.42
Tomato,Uttar Pradesh,Kharif,Sandy Loam,511.3,24.0,6.8,225.2,86.6,167.2,3.8,149.89,572.44
Groundnut,Uttar Pradesh,Zaid,Clay,1206.7,17.7,7.2,213.8,64.1,132.9,5.1,13.68,69.59
Potato,Karnataka,Kharif,Black Soil,1718.2,22.4,6.4,98.7,31.8,74.2,12.8,99.78,1275.67
Chickpea,Madhya Pradesh,Zaid,Clay,818.5,23.0,5.9,112.0,88.2,139.4,9.3,9.59,88.89
Wheat,Punjab,Kharif,Loamy,758.8,17.9,6.8,295.5,99.7,145.7,10.5,29.94,315.79
Wheat,Karnataka,Rabi,Loamy,1440.1,35.6,5.8,248.1,42.0,143.6,14.9,23.54,351.21
Wheat,Maharashtra,Kharif,Black Soil,989.9,33.6,7.6,156.6,36.4,73.0,16.7,18.44,307.19
Sugarcane,Karnataka,Zaid,Clay,1628.0,25.4,5.9,98.3,44.8,191.6,2.5,357.3,886.03
Cotton,Karnataka,Zaid,Red Soil,1707.3,19.1,8.4,94.8,75.4,81.3,15.1,7.37,110.96
Groundnut,Madhya Pradesh,Zaid,Red Soil,1585.2,15.7,6.6,151.0,56.0,225.8,10.0,10.6,106.19
Soybean,Karnataka,Kharif,Loamy,1168.2,18.6,5.8,259.3,77.1,89.3,14.0,17.22,241.46
Chickpea,Punjab,Kharif,Red Soil,910.0,29.1,7.7,67.1,37.0,63.8,7.1,8.11,57.51
Chickpea,Maharashtra,Zaid,Sandy Loam,1403.0,24.5,5.8,291.8,36.3,196.4,17.6,8.16,143.37
Rice,Uttar Pradesh,Rabi,Red Soil,1385.7,20.0,6.0,121.1,60.8,216.7,10.5,26.87,280.81
Maize,Gujarat,Kharif,Alluvial,749.6,17.8,6.6,126.3,24.1,205.3,14.4,35.92,515.96
Rice,Maharashtra,Kharif,Clay,1776.1,18.1,7.1,93.9,88.6,249.7,15.5,26.77,415.82
Chickpea,Punjab,Kharif,Black Soil,1559.5,33.1,5.9,92.4,68.3,239.5,2.3,9.79,22.42
Potato,Uttar Pradesh,Zaid,Red Soil,967.9,23.5,8.4,81.8,29.3,108.4,2.2,94.46,207.58
Potato,Gujarat,Kharif,Loamy,1290.9,15.8,7.7,139.6,31.7,248.6,16.6,123.6,2057.45
Onion,Madhya Pradesh,Zaid,Loamy,1020.8,29.9,6.8,150.4,78.8,202.5,15.0,99.38,1493.88
Mustard,Gujarat,Rabi,Sandy Loam,784.2,36.6,8.0,209.7,29.0,202.3,8.2,8.72,71.53
Soybean,Maharashtra,Kharif,Black Soil,801.4,37.4,7.5,132.3,23.5,200.8,6.3,13.89,87.67
Tomato,Madhya Pradesh,Rabi,Clay,1892.1,20.1,7.8,73.9,82.3,54.0,16.3,135.52,2212.76
Potato,Gujarat,Kharif,Alluvial,1583.0,34.4,7.6,250.5,94.8,223.0,1.5,123.0,183.3
Chickpea,Maharashtra,Zaid,Clay,1389.3,30.5,7.5,175.9,30.8,67.9,4.5,9.24,41.45
Soybean,Uttar Pradesh,Kharif,Clay,354.7,29.0,5.5,114.2,64.1,94.4,7.5,7.56,56.97
Wheat,Madhya Pradesh,Zaid,Clay,1755.8,31.2,5.2,279.1,64.6,143.5,1.5,19.37,29.2
Groundnut,Punjab,Rabi,Loamy,1805.8,30.4,8.3,66.8,94.9,60.8,1.2,9.41,10.85
Soybean,Gujarat,Zaid,Red Soil,1969.9,20.4,7.7,201.1,31.9,152.2,17.5,14.91,260.56
Potato,Gujarat,Rabi,Black Soil,779.0,37.7,5.2,249.3,25.3,158.9,8.3,93.17,770.6
Maize,Karnataka,Zaid,Black Soil,1445.0,27.6,5.7,291.9,20.9,141.1,3.4,31.65,108.95
Rice,Uttar Pradesh,Rabi,Loamy,1103.6,36.9,7.2,69.2,88.1,74.8,19.8,24.02,474.59
Groundnut,Uttar Pradesh,Rabi,Red Soil,1765.7,27.3,8.1,238.1,62.9,185.5,13.2,11.1,147.01
Tomato,Karnataka,Kharif,Clay,876.6,27.8,8.3,244.7,22.2,56.0,14.2,95.58,1358.38
Mustard,Gujarat,Rabi,Black Soil,1557.7,26.8,5.7,180.7,20.8,128.9,5.7,8.55,48.55
Sugarcane,Karnataka,Kharif,Alluvial,964.2,34.2,8.5,137.5,72.8,126.1,18.7,431.53,8085.95
Wheat,Gujarat,Kharif,Black Soil,404.7,29.6,5.3,177.6,36.5,138.8,10.4,17.47,181.85
Onion,Punjab,Zaid,Sandy Loam,929.0,23.1,6.9,141.2,91.0,52.6,9.3,98.51,911.69
Groundnut,Madhya Pradesh,Kharif,Red Soil,350.0,29.1,7.0,242.7,81.3,127.4,10.0,10.71,106.63
Cotton,Gujarat,Rabi,Sandy Loam,1831.2,33.1,7.1,256.4,44.3,69.2,14.1,8.03,113.47
Groundnut,Uttar Pradesh,Kharif,Clay,1661.3,20.2,6.9,180.8,81.5,107.0,17.5,11.86,207.34
Cotton,Gujarat,Zaid,Clay,934.2,32.5,6.4,204.0,28.6,128.6,8.3,10.37,86.56
Mustard,Karnataka,Kharif,Red Soil,1780.9,16.7,5.7,108.2,87.8,193.1,10.9,10.02,108.87
Cotton,Madhya Pradesh,Zaid,Sandy Loam,1851.7,33.2,6.1,151.9,50.0,52.6,18.3,7.19,131.49
Maize,Maharashtra,Zaid,Red Soil,1909.9,21.8,5.8,128.8,70.0,246.7,10.6,24.86,262.85
Tomato,Madhya Pradesh,Rabi,Loamy,1187.9,18.1,7.3,260.7,29.4,65.4,18.0,178.43,3220.02
Rice,Gujarat,Rabi,Loamy,1604.5,29.9,6.0,204.4,61.2,237.7,15.0,26.57,398.54
Mustard,Punjab,Kharif,Sandy Loam,326.7,32.8,6.5,262.0,81.4,91.1,13.2,8.03,106.4
Wheat,Karnataka,Rabi,Loamy,324.6,18.9,7.1,131.0,62.2,95.4,1.2,18.73,22.57
Groundnut,Uttar Pradesh,Zaid,Sandy Loam,785.6,18.7,8.4,248.2,68.2,57.2,12.3,10.44,128.12
Tomato,Maharashtra,Rabi,Loamy,1443.5,21.2,6.4,167.9,21.4,85.7,7.2,152.8,1094.68
Maize,Punjab,Kharif,Red Soil,1463.6,18.4,6.7,69.6,21.7,160.8,6.0,26.53,159.77
Sugarcane,Maharashtra,Rabi,Alluvial,371.8,25.1,7.6,250.1,52.9,207.0,16.1,349.8,5631.84
Mustard,Maharashtra,Zaid,Red Soil,708.4,33.2,5.8,74.4,61.0,128.2,17.1,7.44,127.06
Rice,Madhya Pradesh,Rabi,Clay,917.8,27.6,8.4,75.7,24.4,231.2,12.2,16.52,202.23
Tomato,Maharashtra,Zaid,Sandy Loam,1146.1,37.7,6.5,139.4,63.8,96.7,19.1,128.17,2442.77
Rice,Madhya Pradesh,Kharif,Alluvial,698.0,30.6,7.8,102.2,69.8,190.9,7.1,25.47,181.6
Chickpea,Gujarat,Rabi,Sandy Loam,933.8,29.3,5.3,142.0,52.8,160.6,15.1,8.35,126.34
Sugarcane,Madhya Pradesh,Kharif,Loamy,1851.4,19.2,7.1,204.4,42.6,60.6,14.5,377.4,5459.57
Cotton,Madhya Pradesh,Rabi,Red Soil,1841.7,32.9,8.2,156.2,98.6,183.2,15.6,7.96,123.84
Tomato,Karnataka,Rabi,Sandy Loam,590.9,37.5,7.8,55.1,84.1,215.5,14.4,127.58,1841.71
Maize,Punjab,Kharif,Loamy,1614.5,27.8,6.5,265.6,92.6,169.4,18.6,38.12,710.92
Cotton,Punjab,Rabi,Black Soil,596.2,22.6,8.2,282.6,55.2,134.7,3.5,7.27,25.72
