soil_type,season,rainfall_mm,temperature_c,ph,nitrogen,phosphorus,potassium,recommended_crop
Loamy,Kharif,1714.9,16.5,7.63,136.2,61.4,230.0,Soybean
Clay,Rabi,2189.4,24.3,8.88,329.5,94.7,99.1,Rice
Red Soil,Zaid,1912.7,33.2,6.01,209.6,109.2,201.7,Groundnut
Red Soil,Zaid,2081.3,34.2,6.55,199.8,52.5,146.5,Cotton
Red Soil,Rabi,981.9,38.6,6.28,206.0,109.4,122.2,Groundnut
Alluvial,Rabi,2436.7,33.0,5.24,346.5,86.4,182.4,Mustard
Clay Loam,Kharif,1754.3,37.6,6.3,272.9,16.0,37.5,Soybean
Black Soil,Kharif,2013.8,19.8,6.3,247.6,97.3,49.9,Soybean
Alluvial,Rabi,226.0,14.5,4.76,300.2,62.6,297.8,Potato
Black Soil,Rabi,984.3,30.3,6.39,89.4,87.2,114.8,Chickpea
Sandy Loam,Zaid,1563.9,38.5,7.74,216.6,34.8,77.2,Tomato
Loamy,Kharif,1824.9,38.0,7.53,238.9,59.7,172.9,Maize
Red Soil,Rabi,1887.6,24.9,4.89,164.0,78.2,182.2,Groundnut
Red Soil,Kharif,652.1,22.3,6.58,190.5,43.4,256.0,Groundnut
Loamy,Rabi,494.1,15.0,8.42,312.5,14.2,262.7,Wheat
Sandy Loam,Rabi,1688.2,39.4,5.76,122.2,34.5,141.6,Mustard
Red Soil,Rabi,1983.3,16.8,5.76,314.0,45.5,265.0,Groundnut
Clay Loam,Zaid,1722.8,25.5,6.79,104.9,108.8,105.6,Onion
Red Soil,Zaid,1275.1,33.3,7.31,178.1,59.3,220.1,Cotton
Red Soil,Rabi,1882.7,16.2,8.71,53.5,85.3,131.7,Cotton
Loamy,Zaid,2205.7,28.6,8.77,262.1,77.9,32.7,Onion
Red Soil,Zaid,1897.0,34.6,6.68,52.4,13.3,121.7,Cotton
Sandy Loam,Zaid,982.9,39.1,6.03,88.6,93.6,48.2,Tomato
Red Soil,Zaid,794.7,33.9,7.35,169.3,31.2,85.9,Cotton
Black Soil,Zaid,947.4,39.8,5.13,140.2,77.5,91.3,Chickpea
Red Soil,Kharif,1490.8,17.3,5.52,245.1,33.3,31.4,Cotton
Black Soil,Rabi,1030.9,22.5,7.29,118.2,43.3,155.4,Chickpea
Sandy Loam,Zaid,1495.0,14.7,6.83,236.3,84.6,80.5,Onion
Clay Loam,Zaid,2336.7,33.6,7.92,312.2,97.6,51.1,Tomato
Clay,Zaid,1535.9,27.6,4.84,125.3,48.4,79.7,Rice
Alluvial,Kharif,1156.2,16.7,6.85,261.8,105.3,67.6,Cotton
Loamy,Zaid,1203.3,32.3,5.3,281.9,30.7,109.3,Onion
Clay,Kharif,2406.9,15.3,8.37,261.9,59.1,68.7,Rice
Alluvial,Kharif,1127.7,15.2,7.24,49.6,83.5,57.3,Cotton
Black Soil,Rabi,1536.5,20.2,6.28,39.9,100.9,268.7,Chickpea
Black Soil,Zaid,702.8,30.1,6.43,107.5,70.5,85.8,Cotton
Red Soil,Kharif,225.2,29.8,7.56,337.6,78.5,90.5,Cotton
Alluvial,Zaid,215.6,34.8,8.72,123.2,85.0,64.1,Rice
Clay,Rabi,2158.2,20.0,5.9,186.3,104.2,220.9,Rice
Clay Loam,Zaid,237.1,13.1,7.15,68.1,82.8,174.9,Tomato
Clay Loam,Zaid,2052.3,12.2,4.51,266.3,22.2,183.8,Onion
Alluvial,Rabi,1186.2,18.8,7.14,220.6,77.9,248.9,Potato
Black Soil,Zaid,1915.1,18.3,8.03,37.9,110.5,93.6,Cotton
Clay Loam,Kharif,1224.9,36.0,5.42,244.7,80.3,105.0,Soybean
Loamy,Rabi,2479.0,21.5,6.73,45.7,111.4,116.5,Mustard
Black Soil,Zaid,754.7,36.2,5.68,135.0,34.7,40.4,Cotton
Alluvial,Kharif,2227.6,34.0,7.35,345.9,104.4,178.2,Rice
Clay,Kharif,1289.2,38.8,4.53,315.1,31.6,63.9,Rice
Red Soil,Kharif,373.1,12.5,7.95,163.5,23.8,163.4,Cotton
Alluvial,Rabi,1577.6,26.7,7.63,96.0,23.9,54.9,Mustard
Red Soil,Zaid,1091.7,32.5,8.49,248.1,84.7,86.7,Cotton
Loamy,Zaid,1897.4,27.2,5.04,58.3,37.7,171.8,Tomato
Clay Loam,Kharif,1396.9,20.6,8.07,206.5,68.9,245.4,Soybean
Black Soil,Kharif,982.2,22.8,5.01,199.5,53.0,286.1,Cotton
Sandy Loam,Kharif,2047.7,21.4,8.93,268.7,67.1,151.0,Maize
Black Soil,Kharif,1514.2,38.0,5.66,43.7,87.4,222.5,Soybean
Alluvial,Kharif,2151.9,22.5,7.17,75.9,37.6,174.9,Maize
Sandy Loam,Kharif,1270.5,24.9,6.88,240.7,96.5,272.0,Maize
Sandy Loam,Rabi,1812.7,39.7,5.64,286.8,61.9,80.1,Mustard
Clay Loam,Rabi,2142.3,22.2,6.32,318.0,22.4,184.5,Chickpea
Clay,Rabi,263.5,12.9,4.56,65.6,100.5,189.9,Rice
Red Soil,Zaid,622.7,11.2,5.06,174.4,84.6,63.0,Cotton
Loamy,Zaid,2089.1,14.3,7.33,337.9,52.7,108.1,Onion
Alluvial,Zaid,1698.1,21.4,6.73,105.4,79.9,181.6,Potato
Red Soil,Kharif,2094.2,35.0,4.53,237.4,84.0,100.8,Groundnut
Red Soil,Kharif,2449.8,10.8,6.71,310.2,63.2,211.0,Groundnut
Black Soil,Zaid,223.2,17.9,5.46,137.9,63.7,38.8,Soybean
Alluvial,Rabi,355.9,24.6,7.26,152.9,87.0,115.5,Wheat
Alluvial,Zaid,2155.0,39.0,8.52,160.9,44.9,167.4,Sugarcane
Red Soil,Zaid,1225.7,30.4,4.86,223.1,94.8,42.1,Groundnut
Black Soil,Rabi,441.3,11.5,5.96,213.4,80.5,54.0,Chickpea
Black Soil,Zaid,1219.0,35.2,4.76,53.9,30.2,265.8,Cotton
Clay Loam,Zaid,200.2,22.1,5.93,305.6,43.1,290.5,Onion
Alluvial,Rabi,477.8,35.3,5.73,235.5,106.1,172.1,Mustard
Sandy Loam,Zaid,1451.8,20.6,6.69,257.2,94.4,169.5,Onion
Black Soil,Kharif,748.8,16.7,7.01,287.3,81.4,217.7,Soybean
Loamy,Zaid,1425.6,13.9,5.57,263.4,14.3,296.4,Tomato
Clay Loam,Kharif,1161.3,21.0,4.58,342.5,56.4,263.3,Soybean
Sandy Loam,Zaid,1152.5,37.7,8.72,184.4,53.9,97.8,Onion
Red Soil,Kharif,380.5,23.4,8.53,237.3,41.2,191.7,Groundnut
Sandy Loam,Rabi,2247.8,39.8,5.25,51.3,105.5,262.2,Tomato
Clay,Zaid,961.8,29.1,6.52,101.1,72.9,140.5,Rice
Black Soil,Kharif,1391.1,35.3,7.32,306.4,84.2,236.5,Soybean
Sandy Loam,Zaid,1099.1,14.2,7.38,112.3,65.2,254.2,Onion
Clay,Zaid,1659.7,24.5,7.18,65.7,73.2,37.6,Rice
Black Soil,Kharif,475.2,21.7,7.03,70.6,99.7,36.4,Soybean
Alluvial,Rabi,1595.0,22.3,6.1,199.7,105.2,137.6,Mustard
Alluvial,Kharif,2432.7,24.0,5.8,163.9,90.7,227.3,Rice
Clay,Zaid,444.6,20.9,7.3,336.8,68.4,132.9,Rice
Clay,Zaid,1514.6,21.0,4.66,43.6,115.7,146.3,Rice
Clay Loam,Zaid,1852.7,10.2,7.91,66.3,20.7,164.0,Tomato
Sandy Loam,Zaid,1664.5,39.9,7.5,139.7,57.2,79.8,Onion
Sandy Loam,Rabi,1531.4,34.8,7.51,239.0,66.4,118.6,Potato
Alluvial,Zaid,2399.3,31.0,8.5,125.6,41.4,191.0,Rice
Loamy,Rabi,1051.9,18.8,7.94,301.9,113.6,180.4,Potato
Clay Loam,Rabi,1194.6,34.0,8.93,104.5,72.6,94.1,Chickpea
Sandy Loam,Kharif,807.3,17.7,8.79,194.7,67.1,183.8,Maize
Black Soil,Kharif,1087.6,18.6,7.8,185.3,98.8,139.9,Soybean
Clay,Zaid,2123.4,15.4,6.78,167.1,83.6,42.9,Rice
Alluvial,Rabi,1530.1,24.6,6.14,203.8,80.6,178.3,Potato
Black Soil,Zaid,763.6,34.6,5.21,47.1,103.9,51.9,Chickpea
Black Soil,Rabi,865.2,20.9,8.22,343.2,14.1,193.5,Chickpea
Alluvial,Zaid,2382.0,36.6,5.86,159.6,102.0,63.3,Sugarcane
Clay,Kharif,2187.1,13.1,8.53,38.7,15.7,285.5,Rice
Loamy,Rabi,1724.3,25.4,4.77,36.3,67.4,146.5,Chickpea
Red Soil,Kharif,1821.9,18.1,5.51,96.8,77.1,227.7,Groundnut
Clay,Kharif,1872.7,23.3,6.22,129.4,33.7,44.8,Rice
Black Soil,Rabi,2237.4,20.6,5.32,292.4,70.4,248.7,Chickpea
Red Soil,Rabi,1053.2,11.3,7.89,194.7,18.7,188.2,Groundnut
Sandy Loam,Kharif,1669.3,31.0,7.76,106.8,94.0,184.2,Maize
Clay,Rabi,2441.1,30.1,7.12,175.7,33.6,250.4,Rice
Loamy,Rabi,2314.2,18.3,8.93,233.2,71.4,55.3,Wheat
Black Soil,Rabi,455.4,16.4,7.64,75.6,88.6,255.1,Chickpea
Sandy Loam,Rabi,708.7,33.0,5.38,165.1,39.8,168.1,Potato
Red Soil,Zaid,245.0,11.3,5.54,306.2,22.4,285.2,Cotton
Alluvial,Zaid,520.3,35.9,4.69,48.9,102.6,295.1,Potato
Clay Loam,Zaid,1225.2,17.2,5.41,272.2,29.8,104.0,Tomato
Sandy Loam,Rabi,203.1,20.0,7.32,297.9,114.6,148.9,Mustard
Clay,Rabi,957.0,27.9,7.69,269.2,85.2,67.5,Rice
Black Soil,Zaid,1566.8,22.0,5.8,189.8,82.1,206.5,Chickpea
Sandy Loam,Kharif,1964.3,21.7,6.6,301.7,52.3,110.7,Maize
Loamy,Kharif,359.2,16.5,8.13,227.5,23.6,292.8,Groundnut
Sandy Loam,Kharif,1736.2,33.3,8.15,325.8,74.5,218.7,Groundnut
Red Soil,Kharif,550.8,15.7,6.24,114.3,17.1,238.6,Cotton
Clay,Kharif,1040.7,26.1,5.41,347.6,116.2,123.5,Rice
Sandy Loam,Zaid,1612.6,10.3,7.51,187.0,30.5,52.4,Onion
Alluvial,Rabi,1340.6,18.7,5.72,160.7,23.3,166.6,Potato
Clay,Rabi,765.0,30.1,6.76,116.9,36.1,167.5,Rice
Loamy,Rabi,785.2,10.5,7.23,50.2,75.3,181.3,Wheat
Clay,Rabi,875.6,39.2,4.93,48.2,65.3,253.1,Rice
Loamy,Kharif,881.3,19.9,5.26,287.1,86.4,160.7,Soybean
Sandy Loam,Rabi,1130.4,38.0,8.65,210.6,40.5,245.0,Mustard
Clay,Rabi,1019.6,24.1,8.84,291.8,35.4,250.3,Rice
Alluvial,Zaid,526.8,22.5,6.49,319.9,72.7,81.3,Sugarcane
Alluvial,Kharif,1877.1,33.4,6.87,266.7,25.0,218.1,Rice
Clay,Rabi,1696.6,26.7,7.84,339.0,77.8,192.5,Rice
Sandy Loam,Kharif,1868.5,21.6,7.18,37.1,83.6,181.5,Groundnut
Red Soil,Zaid,2199.7,21.1,7.89,217.7,115.6,269.4,Cotton
Clay Loam,Kharif,1507.5,26.2,8.15,100.3,109.7,176.7,Soybean
Red Soil,Kharif,2236.4,19.9,8.58,252.1,44.0,30.6,Cotton
Clay,Kharif,1132.9,13.9,7.07,208.0,96.0,154.7,Rice
Alluvial,Kharif,705.5,36.8,8.38,257.5,52.8,97.8,Maize
Red Soil,Kharif,1253.3,23.9,8.29,83.1,24.0,79.5,Cotton
Black Soil,Kharif,1370.2,15.3,5.15,86.7,72.5,98.5,Cotton
Red Soil,Kharif,2450.6,22.1,7.65,299.7,36.7,288.0,Groundnut
Alluvial,Zaid,427.3,13.7,6.53,160.9,104.3,128.9,Wheat
Red Soil,Kharif,1921.8,12.2,5.48,45.4,79.9,178.6,Groundnut
Black Soil,Kharif,1728.0,38.9,4.58,175.5,90.4,193.9,Cotton
Alluvial,Kharif,2196.4,15.5,7.79,284.9,47.0,172.0,Cotton
Sandy Loam,Kharif,1889.7,16.4,5.59,340.2,29.2,297.1,Groundnut
Clay Loam,Zaid,1192.2,25.4,5.1,286.8,62.4,107.9,Tomato
Clay Loam,Zaid,2127.1,13.6,6.33,88.6,30.5,67.1,Tomato
Black Soil,Rabi,313.4,16.1,7.59,346.4,89.6,106.1,Chickpea
Loamy,Kharif,720.7,21.9,4.83,188.0,71.7,277.3,Maize
Black Soil,Zaid,1562.2,36.7,6.47,336.1,12.2,196.9,Soybean
Loamy,Kharif,1367.0,25.6,6.04,43.5,114.7,96.4,Groundnut
Loamy,Rabi,777.9,34.9,6.81,94.8,70.6,145.2,Wheat
Clay Loam,Zaid,1656.9,15.3,5.74,312.8,50.0,226.7,Onion
Sandy Loam,Zaid,452.9,16.0,5.71,155.1,65.3,143.5,Tomato
Clay Loam,Rabi,2099.7,22.7,7.1,164.3,64.7,251.1,Chickpea
Sandy Loam,Zaid,1108.3,24.4,7.63,251.6,117.4,274.9,Tomato
Alluvial,Zaid,1624.0,37.7,8.24,32.7,107.4,259.4,Wheat
Alluvial,Kharif,663.3,16.9,5.56,152.1,10.7,119.7,Maize
Red Soil,Rabi,1777.0,28.2,4.72,125.6,107.0,163.2,Cotton
Clay Loam,Rabi,257.8,31.3,6.59,341.1,15.3,127.9,Wheat
Loamy,Rabi,1613.3,28.4,7.72,267.2,59.4,236.4,Mustard
Sandy Loam,Kharif,271.2,38.7,6.63,226.9,39.3,279.0,Groundnut
Clay,Kharif,935.9,12.0,5.72,304.4,61.9,153.0,Rice
Clay Loam,Kharif,543.2,11.9,6.08,135.5,20.2,93.7,Soybean
Clay,Rabi,1837.0,17.2,6.96,214.1,66.8,44.4,Rice
Loamy,Kharif,2162.9,26.4,7.02,45.4,16.1,100.6,Groundnut
Alluvial,Rabi,2208.5,17.0,4.66,210.8,71.5,193.0,Wheat
Loamy,Rabi,1478.2,31.6,4.62,203.4,119.1,110.6,Chickpea
Black Soil,Kharif,2100.1,25.0,5.63,59.0,101.4,116.9,Cotton
Clay,Rabi,665.0,36.4,7.67,103.1,47.6,83.5,Rice
Red Soil,Kharif,1479.3,12.0,7.99,128.4,69.2,195.4,Cotton
Clay Loam,Zaid,1792.8,26.7,7.03,338.7,50.6,65.8,Tomato
Red Soil,Kharif,583.1,22.6,7.08,92.6,49.9,278.5,Groundnut
Red Soil,Zaid,2490.0,14.0,4.61,268.5,105.0,33.3,Cotton
Clay Loam,Zaid,1418.2,30.3,6.35,137.8,118.8,188.6,Tomato
Black Soil,Kharif,1205.2,39.9,8.85,172.7,69.3,39.6,Cotton
Clay,Zaid,1725.6,11.6,6.21,58.3,59.5,40.0,Rice
Clay,Zaid,2213.9,35.7,8.73,186.0,120.0,85.4,Rice
Red Soil,Rabi,1952.0,27.2,8.32,103.5,99.5,39.6,Groundnut
Alluvial,Kharif,299.0,24.0,6.33,52.7,37.7,212.9,Maize
Loamy,Kharif,549.4,31.3,8.64,92.9,89.2,147.1,Groundnut
Sandy Loam,Zaid,739.8,25.0,6.91,195.2,28.8,194.1,Tomato
Red Soil,Zaid,1136.2,18.7,7.11,290.5,20.2,182.4,Groundnut
Sandy Loam,Zaid,746.6,26.8,6.16,162.5,49.0,211.4,Onion
Clay,Zaid,2398.1,19.7,7.56,102.6,87.7,246.7,Rice
Sandy Loam,Zaid,2144.5,18.5,6.37,141.0,26.4,64.3,Tomato
Sandy Loam,Rabi,2166.5,34.5,5.36,252.1,61.0,92.8,Mustard
Sandy Loam,Zaid,741.8,10.3,5.78,291.1,57.4,31.5,Tomato
Loamy,Zaid,757.9,25.0,4.97,108.4,32.5,206.7,Onion
Loamy,Kharif,1467.0,33.7,8.66,152.5,61.3,237.7,Maize
Alluvial,Rabi,433.7,39.2,5.98,274.6,88.1,203.8,Mustard
Clay Loam,Zaid,432.6,38.4,8.24,345.5,116.3,284.8,Onion
Black Soil,Kharif,1656.4,37.1,6.18,89.3,84.0,212.1,Soybean
Black Soil,Rabi,1239.0,33.5,6.16,133.5,48.3,54.0,Chickpea
Clay,Zaid,1272.1,15.7,4.74,123.1,100.1,72.9,Rice
Sandy Loam,Kharif,1639.3,37.0,8.63,339.1,116.7,233.8,Groundnut
Sandy Loam,Rabi,1293.7,22.5,6.18,290.9,88.8,218.1,Mustard
Clay Loam,Zaid,483.0,20.4,5.41,257.0,50.6,242.0,Tomato
Loamy,Zaid,1738.8,16.5,7.3,256.6,106.1,177.4,Tomato
Alluvial,Kharif,2397.4,18.1,6.29,112.5,37.7,37.7,Maize
Clay,Zaid,723.9,32.5,5.15,178.5,111.0,207.2,Rice
Sandy Loam,Kharif,1975.6,38.4,6.73,83.3,17.6,257.5,Groundnut
Loamy,Rabi,884.8,16.6,7.69,258.2,15.4,158.2,Wheat
Loamy,Rabi,2006.9,27.4,6.37,76.0,56.4,112.4,Chickpea
Black Soil,Zaid,1254.3,19.7,6.63,262.1,70.0,140.5,Soybean
Red Soil,Zaid,2087.1,21.7,6.31,302.5,23.0,55.1,Groundnut
Clay Loam,Rabi,948.9,36.1,5.76,115.0,115.1,173.1,Wheat
Sandy Loam,Rabi,1731.9,13.0,7.78,221.9,26.6,36.3,Mustard
Sandy Loam,Kharif,2164.2,17.1,6.09,63.5,92.7,65.5,Groundnut
Alluvial,Zaid,609.4,37.3,5.25,64.7,56.5,204.3,Potato
Red Soil,Kharif,416.2,21.0,5.16,157.1,99.7,80.0,Groundnut
Red Soil,Kharif,2233.5,37.5,9.0,194.5,100.2,290.7,Cotton
Loamy,Kharif,375.0,19.1,7.6,135.9,109.0,283.0,Rice
Black Soil,Rabi,2249.3,29.6,7.79,196.2,109.1,90.6,Chickpea
Sandy Loam,Rabi,771.0,38.8,6.97,85.9,39.5,85.6,Potato
Clay,Zaid,1064.5,23.8,7.28,284.8,75.8,104.2,Rice
Clay Loam,Rabi,527.5,39.9,6.52,246.2,77.7,266.4,Wheat
Red Soil,Zaid,2261.5,30.4,8.11,292.7,84.3,70.7,Groundnut
Sandy Loam,Zaid,2219.1,38.2,8.02,179.6,49.8,152.5,Tomato
Black Soil,Kharif,2161.8,32.5,7.57,225.9,62.4,125.0,Cotton
Black Soil,Rabi,1927.0,21.2,7.5,272.3,98.4,186.8,Chickpea
Black Soil,Kharif,1551.4,25.9,8.11,204.1,64.4,264.5,Soybean
Red Soil,Kharif,591.0,39.2,8.49,272.6,117.0,238.9,Groundnut
Alluvial,Kharif,351.6,25.0,7.33,220.1,85.7,90.0,Maize
Loamy,Rabi,1487.8,31.0,8.46,45.2,10.5,258.2,Chickpea
Alluvial,Rabi,1169.0,20.9,7.64,159.4,97.4,271.6,Potato
Loamy,Rabi,2136.1,13.1,7.69,249.5,19.9,191.2,Potato
Loamy,Rabi,443.5,26.9,7.33,270.6,97.9,165.1,Chickpea
Sandy Loam,Zaid,1356.6,34.8,8.93,309.4,66.2,136.8,Onion
Loamy,Rabi,279.2,24.3,7.56,345.1,76.1,34.4,Mustard
Clay Loam,Kharif,438.2,25.3,4.85,254.8,43.8,52.8,Soybean
Sandy Loam,Kharif,2420.4,26.7,7.31,246.4,83.3,73.3,Groundnut
Loamy,Rabi,1473.0,30.8,8.73,295.9,97.5,35.5,Mustard
Sandy Loam,Zaid,1469.6,12.8,6.14,318.2,20.3,185.9,Tomato
Black Soil,Zaid,1967.7,37.4,8.93,159.0,35.8,230.3,Soybean
Black Soil,Zaid,1982.8,36.8,7.84,300.0,31.7,65.1,Chickpea
Sandy Loam,Kharif,1535.0,24.7,6.88,169.9,65.5,108.5,Maize
Loamy,Kharif,2306.4,29.3,6.1,266.8,119.6,275.3,Rice
Loamy,Kharif,1804.4,11.4,8.11,131.5,36.3,239.1,Groundnut
Black Soil,Zaid,1915.6,18.8,6.14,189.6,19.8,217.4,Cotton
Alluvial,Kharif,664.1,11.6,5.42,269.2,50.5,71.5,Cotton
Clay Loam,Zaid,2341.6,11.7,6.97,114.4,92.3,216.6,Onion
Sandy Loam,Rabi,918.0,35.8,7.71,197.7,22.1,105.4,Potato
Loamy,Zaid,1766.9,16.4,6.53,216.6,30.3,73.2,Tomato
Sandy Loam,Rabi,1938.9,27.1,4.52,272.6,57.7,175.1,Tomato
Black Soil,Rabi,2039.9,25.5,4.76,97.1,70.6,244.1,Chickpea
Red Soil,Kharif,2087.6,22.5,7.23,181.4,114.4,51.4,Cotton
Clay Loam,Zaid,802.1,18.1,5.7,198.7,70.7,55.8,Tomato
Alluvial,Rabi,1794.8,17.3,4.82,50.0,25.3,212.9,Potato
Red Soil,Zaid,887.8,39.3,7.3,285.4,105.2,186.0,Groundnut
Loamy,Kharif,1252.5,23.3,4.65,213.0,63.5,65.4,Rice
Loamy,Rabi,2261.3,26.5,8.76,93.5,56.6,111.1,Mustard
Black Soil,Rabi,950.7,27.2,5.31,231.8,34.2,134.6,Chickpea
Clay,Rabi,2387.8,17.3,8.93,31.2,50.8,32.8,Rice
Clay Loam,Kharif,1604.6,22.8,6.98,109.1,31.8,96.1,Soybean
Sandy Loam,Zaid,2143.0,37.9,5.39,65.7,117.2,61.4,Onion
Alluvial,Kharif,856.0,21.2,6.4,85.9,48.8,137.2,Cotton
Clay Loam,Rabi,1460.7,16.5,6.21,44.6,70.4,76.8,Chickpea
Loamy,Rabi,2255.3,23.8,5.95,109.8,69.3,111.9,Potato
Sandy Loam,Kharif,622.8,33.0,6.52,127.2,109.0,261.9,Maize
Alluvial,Rabi,2162.6,27.6,6.37,196.3,41.7,114.1,Potato
Alluvial,Rabi,1086.2,34.8,8.45,306.9,48.2,153.5,Mustard
Alluvial,Kharif,2212.8,36.0,8.47,299.0,79.7,114.5,Rice
Clay Loam,Kharif,2473.7,23.8,5.63,38.9,72.9,247.8,Soybean
Sandy Loam,Zaid,910.5,39.7,7.02,43.5,43.4,214.7,Onion
Clay Loam,Kharif,1331.3,39.4,7.6,171.8,74.6,41.8,Soybean
Clay,Zaid,2124.2,26.5,6.14,94.4,55.9,77.1,Rice
Red Soil,Kharif,313.1,14.3,8.34,242.9,14.3,158.8,Groundnut
Red Soil,Kharif,1271.1,19.0,8.85,188.9,74.9,147.6,Groundnut
Red Soil,Rabi,979.7,12.4,6.5,313.9,35.4,96.4,Cotton
Black Soil,Rabi,1910.1,29.1,7.22,47.7,108.3,258.5,Chickpea
Black Soil,Kharif,2365.7,28.0,6.52,222.2,85.6,108.2,Soybean
Red Soil,Rabi,1286.6,18.5,7.25,290.9,78.5,64.4,Cotton
Clay Loam,Rabi,1208.1,26.8,7.85,108.9,12.0,175.9,Chickpea
Loamy,Kharif,2347.2,38.1,8.76,63.4,35.0,261.3,Rice
Red Soil,Zaid,2091.1,11.6,8.53,140.7,105.2,221.2,Cotton
Black Soil,Rabi,1444.5,15.0,8.63,53.2,40.1,76.8,Chickpea
Loamy,Zaid,2433.2,16.6,5.83,78.9,59.1,159.5,Onion
Loamy,Rabi,2424.5,36.3,7.69,325.4,47.1,58.2,Potato
Alluvial,Rabi,547.8,24.4,7.62,330.7,28.2,94.1,Wheat
Loamy,Kharif,2124.1,32.0,8.82,79.0,115.0,69.9,Groundnut
Black Soil,Kharif,1881.6,14.1,5.51,324.4,90.3,193.9,Cotton
Red Soil,Rabi,1706.3,36.6,7.48,242.5,21.8,43.2,Cotton
Clay Loam,Rabi,1131.0,25.5,5.91,129.5,117.7,97.4,Wheat
Black Soil,Zaid,989.1,33.5,5.4,68.5,71.6,185.2,Chickpea
Red Soil,Zaid,1673.4,19.3,7.75,132.9,55.9,275.0,Groundnut
Red Soil,Rabi,1314.4,18.4,5.37,272.2,59.9,90.1,Groundnut
Alluvial,Kharif,2186.6,20.8,6.45,134.0,28.8,105.7,Rice
Alluvial,Kharif,247.1,16.5,6.17,46.7,55.4,204.4,Maize
Black Soil,Rabi,864.6,30.6,5.88,53.0,104.3,295.0,Chickpea
Sandy Loam,Rabi,2348.7,27.9,5.15,172.0,12.3,98.4,Mustard
Clay Loam,Rabi,316.2,25.4,8.8,340.8,81.0,239.6,Wheat
Loamy,Rabi,379.4,30.9,6.77,331.6,105.1,74.4,Chickpea
Black Soil,Rabi,1337.2,36.8,7.93,326.2,112.8,76.6,Chickpea
Red Soil,Zaid,2129.0,36.8,6.07,254.9,56.4,280.0,Groundnut
Sandy Loam,Zaid,255.9,35.0,8.68,36.6,103.6,283.9,Onion
Alluvial,Rabi,1215.2,29.7,5.93,119.2,42.3,104.8,Mustard
Clay,Zaid,828.6,19.5,5.08,172.6,77.8,170.4,Rice
Clay Loam,Kharif,1501.1,29.5,8.63,316.2,116.2,166.3,Soybean
Clay,Kharif,1990.4,22.7,5.93,142.7,42.1,212.0,Rice
Sandy Loam,Kharif,341.5,19.8,7.22,254.9,78.9,149.6,Maize
Red Soil,Kharif,1025.6,36.5,5.3,283.3,73.8,182.3,Cotton
Clay Loam,Zaid,247.3,24.6,5.95,316.9,28.9,99.6,Onion
Clay,Rabi,370.0,32.1,8.8,114.5,62.9,192.0,Rice
Black Soil,Zaid,1611.0,23.8,8.05,219.4,51.7,161.2,Soybean
Loamy,Zaid,942.6,39.8,7.21,37.1,69.4,181.4,Tomato
Clay Loam,Rabi,313.0,11.3,6.07,345.7,83.4,123.8,Wheat
Red Soil,Kharif,2126.8,39.4,8.08,175.4,93.4,122.7,Cotton
Loamy,Rabi,601.5,32.6,7.77,62.8,75.5,298.5,Chickpea
Loamy,Rabi,714.4,20.0,7.22,334.0,105.7,118.4,Chickpea
Alluvial,Rabi,2039.7,36.9,5.59,282.4,15.4,47.2,Mustard
Black Soil,Zaid,1943.3,34.8,5.47,220.3,88.6,102.0,Cotton
Red Soil,Zaid,765.7,22.1,4.64,201.7,87.9,147.0,Groundnut
Sandy Loam,Zaid,299.1,16.8,5.47,295.5,90.7,199.3,Tomato
Loamy,Rabi,1050.0,34.5,7.96,228.6,86.1,260.5,Chickpea
Alluvial,Zaid,1778.4,30.4,4.87,146.7,29.5,59.0,Wheat
Alluvial,Kharif,2364.8,27.1,6.02,297.4,12.9,256.0,Rice
Clay,Rabi,273.1,28.6,7.54,296.9,77.4,175.5,Rice
Clay,Kharif,1195.5,36.0,5.84,48.3,60.0,121.3,Rice
Red Soil,Rabi,1433.0,37.1,8.22,305.6,91.4,127.6,Groundnut
Alluvial,Zaid,2065.1,32.4,7.52,274.7,68.2,150.6,Mustard
Black Soil,Zaid,1702.9,17.1,7.25,233.3,11.9,122.9,Cotton
Red Soil,Zaid,2370.7,10.4,6.41,341.1,102.8,45.6,Groundnut
Loamy,Kharif,1766.9,38.6,7.67,84.0,82.3,78.9,Maize
Black Soil,Zaid,1980.6,29.3,5.16,70.4,63.3,262.8,Chickpea
Loamy,Rabi,2212.8,12.6,7.5,53.0,61.6,199.2,Wheat
Loamy,Zaid,521.3,24.9,5.19,186.2,32.1,238.4,Onion
Red Soil,Kharif,1737.8,37.1,7.99,72.7,105.6,62.6,Groundnut
Clay Loam,Zaid,383.3,19.6,4.87,123.4,39.8,286.7,Tomato
Sandy Loam,Rabi,820.3,16.4,8.58,170.4,55.2,82.2,Potato
Clay,Zaid,500.3,19.2,6.29,164.9,61.6,143.4,Rice
Clay Loam,Zaid,2163.3,10.2,5.4,322.6,117.7,132.0,Tomato
Red Soil,Rabi,1864.5,37.7,5.25,48.0,33.6,116.2,Groundnut
Red Soil,Rabi,966.5,31.7,8.13,190.4,21.2,290.0,Cotton
Red Soil,Zaid,1261.9,34.1,8.35,348.0,78.1,124.3,Cotton
Alluvial,Kharif,2291.4,35.8,6.51,302.3,27.6,206.0,Maize
Clay Loam,Zaid,1778.5,23.6,5.13,162.1,40.5,150.6,Tomato
Alluvial,Rabi,2357.9,27.1,4.89,100.4,47.8,283.2,Mustard
