crop,season,humidity_percent,temperature_c,rainfall_mm,disease_risk,disease_occurred
Potato,Kharif,47.7,32.8,738.8,Low,None
Wheat,Rabi,77.7,24.9,1281.3,High,Rust
Cotton,Zaid,87.5,26.0,209.9,High,Bollworm
Wheat,Rabi,71.1,28.9,1239.8,High,Rust
Wheat,Rabi,70.1,29.2,605.4,Medium,Powdery Mildew
Rice,Zaid,94.1,17.3,1743.0,Medium,Bacterial Leaf Blight
Potato,Zaid,52.4,26.3,1736.7,Low,None
Potato,Kharif,80.8,21.9,837.7,Medium,Early Blight
Rice,Rabi,53.2,36.3,1793.2,Medium,Bacterial Leaf Blight
Wheat,Kharif,93.4,29.1,300.7,High,Powdery Mildew
Tomato,Zaid,58.0,28.8,316.0,Low,None
Soybean,Kharif,88.8,35.0,1020.2,High,Rust
Potato,Zaid,76.3,25.8,992.7,High,Late Blight
Cotton,Zaid,92.3,26.8,850.8,High,Whitefly
Tomato,Kharif,72.3,32.9,1902.8,Medium,Late Blight
Potato,Kharif,41.9,31.4,1024.4,Low,None
Soybean,Rabi,73.1,30.4,1609.1,Medium,Pod Borer
Tomato,Kharif,46.6,36.6,1365.3,Medium,Late Blight
Wheat,Rabi,80.7,18.9,1497.9,High,Rust
Potato,Rabi,47.7,36.6,493.3,Low,None
Tomato,Rabi,67.2,25.3,1809.9,Medium,Fruit Borer
Rice,Kharif,46.5,34.1,1888.3,Medium,Blast
Rice,Kharif,49.9,20.6,1228.0,Medium,Blast
Cotton,Zaid,58.9,21.5,956.0,Low,None
Soybean,Kharif,95.0,35.6,1498.3,High,Yellow Mosaic
Rice,Zaid,80.0,22.3,854.0,High,Brown Spot
Soybean,Zaid,67.5,19.1,693.5,Low,None
Tomato,Zaid,91.7,23.6,274.4,High,Late Blight
Rice,Zaid,66.1,36.6,891.0,Medium,Brown Spot
Tomato,Rabi,91.5,26.1,564.5,High,Fruit Borer
Tomato,Rabi,66.5,27.6,1327.4,Medium,None
Rice,Rabi,58.9,37.8,1634.5,Medium,Blast
Wheat,Rabi,42.7,32.1,603.8,Low,None
Soybean,Rabi,77.3,37.8,1191.2,Medium,None
Wheat,Zaid,93.6,37.6,1367.5,Medium,Rust
Rice,Kharif,41.1,16.7,1053.8,Low,None
Rice,Zaid,65.8,25.5,1385.1,Medium,None
Potato,Zaid,54.4,28.4,827.3,Low,None
Cotton,Zaid,40.3,16.9,1730.0,Low,None
Soybean,Zaid,41.2,21.9,1509.2,Medium,Rust
Tomato,Zaid,93.8,33.9,1908.8,High,Early Blight
Rice,Kharif,56.0,19.1,778.5,Low,None
Rice,Kharif,92.1,31.9,372.2,Medium,Blast
Cotton,Rabi,56.7,35.0,914.5,Low,None
Wheat,Rabi,59.8,16.6,1301.9,Medium,Loose Smut
Wheat,Kharif,47.4,28.6,1766.1,Medium,None
Rice,Kharif,90.8,33.7,1901.6,High,Blast
Rice,Kharif,67.4,35.9,1965.5,High,Blast
Cotton,Zaid,77.7,37.9,1037.6,Medium,None
Potato,Zaid,46.8,34.1,1114.6,Low,None
Wheat,Kharif,53.4,17.0,1309.8,Medium,None
Wheat,Kharif,74.5,29.0,224.0,Medium,Loose Smut
Rice,Kharif,70.6,30.9,682.2,Medium,Blast
Soybean,Kharif,76.9,22.7,1998.5,High,Rust
Cotton,Zaid,86.7,32.3,351.1,Medium,Bacterial Blight
Rice,Rabi,76.4,20.5,1295.5,High,Blast
Rice,Zaid,86.9,23.6,1893.8,High,Blast
Potato,Kharif,88.1,30.8,201.7,Medium,Late Blight
Soybean,Zaid,40.5,28.0,1424.2,Low,None
Wheat,Zaid,59.7,19.1,1564.4,Low,None
Soybean,Rabi,53.6,33.3,1418.2,Medium,Pod Borer
Potato,Zaid,95.0,29.3,708.4,Medium,Early Blight
Wheat,Kharif,51.7,22.4,647.6,Low,None
Potato,Kharif,50.0,27.0,969.1,Low,None
Tomato,Rabi,72.3,16.3,1987.0,Medium,Early Blight
Soybean,Zaid,50.5,25.0,574.8,Low,None
Wheat,Zaid,87.6,25.4,776.7,Medium,None
Cotton,Rabi,44.8,27.3,597.1,Low,None
Cotton,Rabi,69.9,32.3,202.7,Low,None
Cotton,Zaid,42.3,26.0,291.6,Low,None
Rice,Zaid,52.4,32.2,938.4,Low,None
Tomato,Rabi,60.2,28.9,1244.2,Medium,Fruit Borer
Potato,Kharif,59.6,34.1,365.7,Low,None
Potato,Kharif,46.2,32.5,1897.6,Medium,Late Blight
Potato,Rabi,90.4,19.0,463.6,Medium,Late Blight
Cotton,Rabi,45.7,23.3,306.0,Low,None
Rice,Kharif,73.3,16.1,1830.2,High,Brown Spot
Tomato,Kharif,61.6,31.1,405.5,Low,None
Potato,Kharif,51.5,34.3,1936.0,Medium,Late Blight
Wheat,Kharif,90.8,19.5,1630.1,High,Loose Smut
Cotton,Rabi,82.8,21.3,394.4,Low,None
Rice,Kharif,42.5,25.2,644.9,Low,None
Wheat,Zaid,69.0,22.5,835.4,Low,None
Cotton,Rabi,94.7,15.8,875.3,Medium,None
Tomato,Rabi,46.1,29.8,1210.1,Low,None
Soybean,Zaid,76.7,26.2,1068.8,High,Rust
Soybean,Kharif,75.5,34.7,1242.8,High,Rust
Tomato,Kharif,58.9,26.2,1672.6,Medium,Late Blight
Cotton,Zaid,62.5,29.5,1237.3,Medium,None
Soybean,Rabi,85.3,29.1,1230.9,High,Pod Borer
Cotton,Rabi,52.2,37.1,1441.8,Low,None
Rice,Zaid,88.8,31.7,1178.3,Medium,Blast
Rice,Zaid,46.0,31.8,1786.6,Low,None
Tomato,Rabi,84.2,23.7,666.9,High,Fruit Borer
Cotton,Zaid,48.3,20.3,1295.8,Medium,Bollworm
Wheat,Zaid,85.2,24.6,968.7,High,Loose Smut
Potato,Rabi,43.5,21.2,1794.8,Medium,Early Blight
Potato,Rabi,46.1,27.3,933.1,Low,None
Potato,Rabi,62.5,19.1,838.4,Low,None
Cotton,Rabi,45.8,28.6,1401.7,Low,None
Rice,Kharif,51.8,25.9,448.5,Low,None
Potato,Rabi,46.1,27.1,311.5,Low,None
Tomato,Kharif,42.3,34.8,1627.6,Medium,Fruit Borer
Tomato,Zaid,59.9,23.4,1365.1,Medium,Late Blight
Cotton,Kharif,47.4,17.7,574.9,Low,None
Tomato,Kharif,83.7,35.4,907.7,Medium,Fruit Borer
Rice,Zaid,76.8,21.3,1723.8,Medium,Brown Spot
Wheat,Kharif,79.3,19.3,1004.4,High,Rust
Cotton,Zaid,92.3,15.5,1901.1,High,Bollworm
Rice,Rabi,49.3,16.0,1124.1,Low,None
Tomato,Zaid,70.2,34.6,325.2,Low,None
Cotton,Zaid,48.1,16.8,292.5,Low,None
Rice,Rabi,70.4,27.0,399.6,Medium,Brown Spot
Wheat,Kharif,95.0,15.2,619.1,Medium,Rust
Potato,Rabi,75.9,37.6,1900.5,High,Early Blight
Potato,Rabi,47.7,33.9,777.2,Low,None
Potato,Rabi,53.3,23.5,1839.8,Low,None
Wheat,Rabi,71.3,25.7,592.5,Medium,Loose Smut
Tomato,Rabi,54.4,29.9,245.7,Low,None
Potato,Rabi,75.0,17.7,1198.3,Low,None
Cotton,Kharif,47.8,21.2,1234.7,Medium,Bollworm
Soybean,Rabi,62.4,19.9,994.7,Medium,Rust
Cotton,Rabi,68.9,24.9,378.6,Low,None
Rice,Kharif,84.1,20.0,307.0,Medium,Blast
Rice,Zaid,52.3,28.6,417.9,Low,None
Rice,Rabi,49.5,16.1,1032.5,Low,None
Cotton,Kharif,72.8,16.3,607.2,Low,None
Rice,Kharif,76.9,36.2,258.6,Medium,Blast
Tomato,Zaid,60.3,31.0,692.9,Low,None
Rice,Kharif,75.8,29.5,1774.4,High,Bacterial Leaf Blight
Cotton,Zaid,72.0,22.4,1817.1,High,Bollworm
Potato,Rabi,66.4,34.4,393.0,Low,None
Soybean,Zaid,73.5,26.8,1648.8,High,Rust
Rice,Zaid,69.0,24.4,728.0,Low,None
Cotton,Zaid,42.1,15.3,812.5,Low,None
Cotton,Zaid,62.7,28.7,283.5,Low,None
Rice,Zaid,58.9,20.8,1551.2,Medium,Bacterial Leaf Blight
Wheat,Kharif,44.9,27.4,445.2,Low,None
Wheat,Rabi,57.4,15.2,946.7,Low,None
Rice,Rabi,70.6,22.4,875.8,Medium,None
Potato,Zaid,90.1,29.9,960.3,High,Early Blight
Soybean,Rabi,85.0,36.7,1992.5,Medium,Yellow Mosaic
Soybean,Rabi,61.1,20.3,949.5,Low,None
Wheat,Kharif,83.7,36.9,1156.9,Medium,None
Tomato,Kharif,50.3,23.6,1794.2,Medium,Early Blight
Potato,Rabi,46.2,36.0,407.9,Low,None
Wheat,Zaid,46.7,29.1,905.5,Low,None
Wheat,Rabi,78.5,26.3,1398.2,High,Powdery Mildew
Potato,Kharif,75.3,29.0,1132.6,High,Early Blight
Cotton,Zaid,71.5,21.5,1246.2,Medium,Whitefly
Tomato,Kharif,90.7,19.9,1016.6,Medium,Late Blight
Tomato,Kharif,68.0,20.9,1951.6,Medium,Late Blight
Soybean,Zaid,83.0,31.7,1826.2,High,Rust
Rice,Zaid,67.2,23.3,1684.6,Medium,Brown Spot
Tomato,Zaid,86.8,20.0,1148.1,Medium,None
Rice,Rabi,62.4,20.1,1230.7,Medium,Bacterial Leaf Blight
Rice,Kharif,79.9,16.0,1928.3,High,Brown Spot
Potato,Zaid,76.5,20.4,1110.4,Medium,Late Blight
Tomato,Zaid,66.1,19.5,1950.0,Medium,None
Rice,Rabi,51.8,31.1,1245.4,Medium,Bacterial Leaf Blight
Rice,Kharif,50.4,21.8,1255.0,Medium,None
Potato,Kharif,61.9,35.8,1790.0,Medium,Early Blight
Rice,Zaid,48.6,21.8,1643.8,Low,None
Soybean,Rabi,54.5,24.0,762.4,Low,None
Tomato,Kharif,73.5,16.2,1378.3,High,Late Blight
Cotton,Rabi,53.5,17.8,349.7,Low,None
Tomato,Zaid,45.0,15.1,1727.7,Low,None
Cotton,Rabi,56.7,29.2,628.0,Low,None
Wheat,Kharif,65.6,24.2,244.3,Low,None
Cotton,Rabi,55.9,23.7,1409.7,Low,None
Cotton,Rabi,86.6,35.3,377.8,Low,None
Rice,Rabi,79.8,30.8,1585.5,High,Blast
Rice,Kharif,41.1,22.2,1283.6,Medium,Bacterial Leaf Blight
Wheat,Kharif,82.8,24.3,245.7,High,Powdery Mildew
Cotton,Kharif,68.1,32.5,326.9,Medium,Bollworm
Soybean,Zaid,52.1,25.7,1151.1,Low,None
Cotton,Rabi,77.0,35.0,465.7,Low,None
Rice,Kharif,60.0,15.7,1951.0,High,Bacterial Leaf Blight
Tomato,Zaid,92.9,35.8,689.6,Medium,Fruit Borer
Potato,Kharif,47.3,36.4,490.3,Low,None
Wheat,Zaid,83.7,32.2,1799.8,High,Rust
Potato,Rabi,57.1,23.3,1300.8,Medium,Early Blight
Cotton,Kharif,42.9,22.3,974.0,Low,None
Tomato,Rabi,46.2,23.1,1288.7,Low,None
Tomato,Rabi,69.9,15.7,1795.7,Medium,Early Blight
Tomato,Rabi,55.0,17.5,969.2,Low,None
Rice,Zaid,50.0,26.5,710.5,Low,None
Cotton,Kharif,57.7,25.9,1353.4,Medium,Whitefly
Tomato,Kharif,47.0,27.0,640.9,Low,None
Soybean,Kharif,68.5,16.6,1491.0,High,Rust
Wheat,Rabi,57.0,27.4,1977.3,Medium,Loose Smut
Cotton,Kharif,91.7,35.6,865.1,Medium,None
Soybean,Rabi,71.0,25.3,1181.9,High,Rust
Cotton,Kharif,87.0,29.5,729.0,High,Whitefly
Wheat,Rabi,85.8,28.6,1913.3,High,Rust
Soybean,Kharif,43.2,25.8,636.0,Low,None
Wheat,Kharif,55.4,33.8,1095.7,Low,None
Cotton,Kharif,49.0,27.2,481.0,Low,None
Rice,Rabi,79.9,30.1,1828.2,High,Brown Spot
Rice,Rabi,51.0,29.2,466.1,Low,None
Cotton,Kharif,48.3,26.0,928.7,Low,None
Rice,Zaid,55.7,29.6,628.4,Low,None
Rice,Zaid,92.3,31.4,219.6,Low,None
Rice,Kharif,52.2,35.7,201.9,Low,None
Soybean,Kharif,81.2,18.3,236.8,Medium,Yellow Mosaic
Wheat,Kharif,54.5,32.3,1876.1,Medium,Loose Smut
Soybean,Zaid,72.1,29.9,567.0,Medium,Pod Borer
Potato,Rabi,58.1,30.7,1753.9,Low,None
Potato,Kharif,86.4,24.1,1578.5,High,Early Blight
Wheat,Rabi,89.5,34.4,1290.2,High,Powdery Mildew
Cotton,Kharif,47.1,34.6,514.8,Low,None
Rice,Zaid,75.5,29.0,1491.7,High,Bacterial Leaf Blight
Wheat,Rabi,81.9,22.2,844.8,High,Powdery Mildew
Wheat,Kharif,42.6,15.1,1054.3,Low,None
Tomato,Rabi,82.5,32.0,684.6,Medium,Late Blight
Potato,Zaid,52.4,30.0,441.2,Low,None
Soybean,Kharif,60.6,18.7,406.5,Low,None
Rice,Zaid,76.2,25.8,1650.8,High,Blast
Rice,Zaid,73.6,26.0,1202.5,High,Blast
Potato,Rabi,46.8,23.9,364.1,Low,None
Cotton,Rabi,48.6,16.2,1707.9,Low,None
Cotton,Rabi,65.6,35.2,484.5,Low,None
Potato,Zaid,45.5,32.0,1654.8,Medium,Late Blight
Tomato,Rabi,64.4,32.7,887.0,Medium,Early Blight
Wheat,Kharif,65.2,24.4,362.6,Medium,None
Soybean,Rabi,43.2,36.8,722.9,Low,None
Potato,Kharif,67.4,15.5,1685.0,Medium,Late Blight
Wheat,Kharif,89.9,30.8,1704.5,High,Loose Smut
Potato,Zaid,88.1,33.6,1209.4,High,Early Blight
Potato,Rabi,67.1,27.9,1054.1,Medium,Early Blight
Tomato,Kharif,62.1,17.5,860.2,Medium,None
Cotton,Zaid,80.4,19.2,1979.2,High,Bacterial Blight
Soybean,Kharif,67.5,17.3,1370.8,High,Pod Borer
Tomato,Zaid,93.5,17.3,749.8,Medium,None
Potato,Rabi,88.0,15.2,354.5,Medium,Late Blight
Rice,Kharif,56.6,28.9,1116.2,Medium,Bacterial Leaf Blight
Wheat,Kharif,44.2,30.4,1288.2,Medium,None
Rice,Kharif,48.1,34.3,1951.7,Medium,Bacterial Leaf Blight
Rice,Rabi,43.3,32.0,705.8,Low,None
Soybean,Rabi,47.8,16.0,1360.2,Low,None
Soybean,Zaid,57.5,28.7,294.0,Low,None
Cotton,Rabi,71.4,36.0,1638.0,Medium,None
Potato,Rabi,85.8,32.9,1606.5,High,Early Blight
Soybean,Kharif,42.6,20.4,370.1,Low,None
Rice,Zaid,79.6,16.0,1839.6,High,Bacterial Leaf Blight
Cotton,Kharif,48.6,28.1,1079.4,Medium,Bacterial Blight
Soybean,Zaid,82.0,25.2,1583.4,High,Pod Borer
Tomato,Rabi,78.0,22.0,1664.5,High,Early Blight
Potato,Kharif,47.0,15.3,541.3,Low,None
Cotton,Rabi,42.9,34.4,1216.3,Low,None
Wheat,Kharif,56.1,21.6,512.0,Low,None
Soybean,Rabi,82.7,18.0,1793.6,High,Pod Borer
Cotton,Kharif,74.1,31.5,1208.5,High,Bollworm
Wheat,Kharif,74.9,27.4,1996.3,High,Powdery Mildew
Tomato,Rabi,64.1,26.9,1298.8,Medium,Late Blight
Rice,Zaid,80.0,29.4,1819.1,High,Brown Spot
Potato,Zaid,79.9,22.8,835.6,High,Late Blight
Potato,Zaid,88.2,33.7,1512.3,High,Late Blight
Soybean,Kharif,59.3,34.8,1766.6,Medium,None
Soybean,Rabi,59.8,26.6,700.0,Low,None
Cotton,Zaid,64.1,32.8,1646.4,Medium,None
Wheat,Kharif,48.4,33.0,552.3,Low,None
Cotton,Kharif,43.4,28.6,1525.0,Medium,Bacterial Blight
Cotton,Zaid,63.2,22.0,1154.3,Low,None
Rice,Kharif,58.4,29.5,428.7,Low,None
Rice,Rabi,72.6,26.7,789.8,Medium,Bacterial Leaf Blight
Wheat,Kharif,90.2,17.3,1169.6,High,Loose Smut
Soybean,Zaid,70.9,34.6,1800.5,Medium,Yellow Mosaic
Tomato,Kharif,88.6,29.6,1993.3,High,Fruit Borer
Potato,Zaid,70.5,24.0,1906.0,High,Late Blight
Potato,Rabi,90.6,18.0,671.0,Medium,Early Blight
Wheat,Zaid,58.8,30.0,559.8,Low,None
Wheat,Zaid,90.4,23.5,230.1,Medium,Rust
Rice,Rabi,58.9,26.3,469.9,Low,None
Cotton,Zaid,86.6,36.5,1624.4,High,Bollworm
Wheat,Zaid,53.3,15.3,1210.1,Medium,Rust
Cotton,Rabi,58.5,32.2,740.0,Low,None
Rice,Kharif,60.4,22.3,1142.0,Medium,Blast
Potato,Kharif,88.6,19.9,758.2,Medium,Early Blight
Rice,Zaid,87.6,19.3,1990.9,High,Blast
Cotton,Kharif,55.2,32.1,1145.1,Low,None
Tomato,Zaid,89.4,36.1,999.7,Medium,Early Blight
Rice,Kharif,53.5,37.7,1398.6,Medium,Brown Spot
Cotton,Kharif,88.1,23.3,361.2,High,Bacterial Blight
Cotton,Zaid,84.0,16.3,551.4,Medium,Bacterial Blight
Wheat,Zaid,78.3,34.1,378.9,Low,None
Soybean,Kharif,53.5,30.7,654.9,Low,None
Potato,Rabi,85.9,16.6,1413.9,High,Early Blight
Rice,Zaid,59.8,37.5,238.7,Low,None
Potato,Rabi,80.1,24.3,275.3,High,Late Blight
Rice,Zaid,55.9,18.0,449.4,Low,None
Potato,Kharif,46.3,35.5,1520.3,Medium,Early Blight
Tomato,Kharif,59.4,21.3,795.5,Low,None
Soybean,Rabi,76.9,29.2,1493.0,High,Yellow Mosaic
Tomato,Rabi,72.4,27.7,372.0,Medium,Late Blight
Tomato,Zaid,73.6,30.6,1569.4,Medium,None
Soybean,Zaid,94.4,32.9,725.7,Medium,Pod Borer
Tomato,Kharif,49.8,33.7,1611.3,Medium,None
Potato,Rabi,55.6,37.3,804.4,Low,None
Soybean,Zaid,60.1,18.6,228.0,Low,None
Soybean,Zaid,88.1,21.3,558.3,Medium,None
Rice,Kharif,55.9,25.0,1951.1,Medium,Blast
Rice,Rabi,67.8,29.2,684.2,Low,None
Tomato,Zaid,59.4,20.2,892.1,Low,None
Cotton,Rabi,89.7,19.2,1823.4,High,Whitefly
Rice,Zaid,61.4,31.7,782.8,Low,None
Potato,Rabi,93.0,32.1,637.6,Low,None
Cotton,Zaid,45.0,32.6,1192.1,Low,None
Wheat,Zaid,67.5,31.2,1076.2,Medium,Powdery Mildew
Soybean,Zaid,61.4,36.2,1289.2,Medium,Pod Borer
Cotton,Rabi,52.4,38.0,995.1,Low,None
Tomato,Rabi,41.3,20.3,875.1,Low,None
Tomato,Zaid,92.5,31.0,563.5,Low,None
Soybean,Zaid,86.3,25.5,1834.8,High,Yellow Mosaic
Rice,Kharif,59.7,16.0,638.4,Low,None
Potato,Zaid,61.3,25.0,502.4,Low,None
Potato,Kharif,40.2,34.2,1754.9,Medium,None
Soybean,Kharif,93.9,17.9,251.0,Medium,Pod Borer
Cotton,Zaid,83.1,36.5,1183.1,Medium,Whitefly
Tomato,Zaid,80.0,27.4,1699.1,High,Late Blight
Potato,Kharif,94.7,31.7,857.9,High,Early Blight
Tomato,Kharif,45.7,28.9,1312.7,Medium,Fruit Borer
Rice,Kharif,70.7,31.0,1286.1,Medium,Bacterial Leaf Blight
Cotton,Rabi,93.6,20.1,1548.6,High,Bacterial Blight
Wheat,Zaid,73.2,28.6,1288.5,High,Loose Smut
Wheat,Kharif,79.4,16.9,987.4,High,Rust
Rice,Rabi,80.4,35.6,1169.4,Medium,Bacterial Leaf Blight
Rice,Zaid,44.8,15.9,547.2,Low,None
Potato,Zaid,61.7,33.0,647.3,Low,None
Potato,Rabi,83.3,30.6,338.8,Low,None
Cotton,Rabi,53.6,33.0,1988.7,Medium,Whitefly
Wheat,Rabi,73.3,35.2,743.5,Low,None
Cotton,Rabi,83.3,36.6,389.8,Medium,Bollworm
Wheat,Zaid,67.0,22.6,629.4,Low,None
Rice,Zaid,69.8,36.1,1513.7,Medium,None
Potato,Zaid,84.6,22.7,1931.2,High,Early Blight
Tomato,Rabi,54.1,26.5,1683.3,Medium,Early Blight
Rice,Rabi,80.8,24.7,1668.6,High,Blast
Rice,Kharif,71.2,21.4,1572.4,High,Bacterial Leaf Blight
Potato,Zaid,40.2,20.6,637.7,Low,None
Cotton,Kharif,42.1,18.3,1723.7,Medium,Whitefly
Wheat,Kharif,54.8,33.2,1434.1,Medium,Rust
Cotton,Rabi,83.2,16.5,229.7,Medium,Bollworm
Rice,Rabi,54.9,31.6,1738.5,Medium,Blast
Tomato,Kharif,64.7,37.2,835.0,Medium,Early Blight
Wheat,Rabi,50.2,22.3,1955.5,Low,None
Wheat,Kharif,58.3,25.8,297.5,Low,None
Wheat,Kharif,72.0,18.9,943.3,Medium,Loose Smut
Soybean,Rabi,85.7,27.8,410.4,Medium,Rust
Rice,Rabi,77.1,31.8,1169.7,Medium,Bacterial Leaf Blight
Soybean,Rabi,94.9,34.2,1235.2,High,Pod Borer
Rice,Kharif,43.9,22.9,1003.1,Low,None
Rice,Rabi,46.9,26.2,314.7,Low,None
Potato,Zaid,84.8,21.0,1957.8,High,Early Blight
Soybean,Zaid,62.1,22.3,1667.5,Medium,Yellow Mosaic
Soybean,Zaid,82.9,29.9,305.4,High,Yellow Mosaic
Rice,Kharif,88.5,37.0,1956.1,High,Brown Spot
Rice,Kharif,82.8,19.3,490.0,Medium,Bacterial Leaf Blight
Tomato,Zaid,42.8,27.0,1819.7,Low,None
Soybean,Zaid,62.2,37.2,352.8,Low,None
Tomato,Rabi,71.6,28.7,1631.3,High,Late Blight
Cotton,Zaid,54.2,35.4,728.8,Low,None
Potato,Kharif,76.5,25.1,946.2,High,Early Blight
Cotton,Kharif,56.1,18.7,1330.0,Medium,Whitefly
Rice,Rabi,51.2,24.3,1568.2,Low,None
Cotton,Rabi,93.6,20.5,1411.7,High,Bacterial Blight
Soybean,Zaid,57.8,26.6,760.0,Low,None
Tomato,Zaid,77.0,32.4,223.0,Medium,Early Blight
Tomato,Zaid,50.4,16.5,689.1,Low,None
Cotton,Kharif,73.5,25.0,1230.2,High,Bollworm
Soybean,Rabi,70.5,16.8,1183.5,Medium,Rust
Potato,Zaid,47.9,32.9,459.2,Low,None
Tomato,Zaid,77.8,19.8,1419.9,High,Late Blight
Tomato,Kharif,63.4,23.2,416.8,Medium,Early Blight
Tomato,Zaid,55.5,30.3,1044.8,Low,None
Potato,Kharif,61.8,37.2,558.8,Medium,Late Blight
Wheat,Zaid,51.5,35.4,1332.6,Low,None
Soybean,Rabi,89.7,20.5,1554.8,Medium,None
Potato,Rabi,55.5,23.7,996.9,Low,None
Potato,Rabi,76.0,29.2,834.7,High,Early Blight
Cotton,Kharif,47.2,18.9,1551.6,Medium,Bacterial Blight
Rice,Rabi,72.5,36.2,1943.4,Medium,Blast
Rice,Zaid,70.3,22.9,1012.1,Medium,Brown Spot
Rice,Kharif,54.2,23.8,667.4,Low,None
Soybean,Rabi,64.2,21.0,1872.6,Medium,Pod Borer
Rice,Kharif,93.1,37.5,497.4,Medium,Blast
Cotton,Kharif,62.8,25.2,1297.3,Medium,Bollworm
Wheat,Rabi,57.7,15.3,1694.5,Medium,Rust
Tomato,Kharif,57.2,21.1,1474.6,Medium,Late Blight
Soybean,Kharif,54.0,21.3,724.1,Low,None
Wheat,Zaid,68.9,31.4,529.0,Low,None
Rice,Kharif,93.4,30.4,862.5,High,Bacterial Leaf Blight
Wheat,Kharif,54.8,26.9,206.1,Low,None
Rice,Zaid,79.5,33.1,1632.4,High,Brown Spot
Potato,Zaid,90.4,29.7,578.0,High,Late Blight
Wheat,Zaid,43.8,17.5,248.4,Low,None
Cotton,Kharif,92.4,17.8,1919.5,High,Bollworm
Wheat,Rabi,94.4,19.7,894.8,Medium,Rust
Potato,Zaid,60.3,25.7,1837.4,Medium,Early Blight
Wheat,Kharif,82.7,20.3,1817.6,High,Rust
Cotton,Kharif,69.3,27.2,1534.1,High,Whitefly
Wheat,Rabi,73.6,26.8,698.5,Medium,None
Tomato,Rabi,41.9,27.4,1223.4,Medium,None
Rice,Zaid,48.4,16.2,1534.9,Low,None
Rice,Zaid,86.0,18.1,555.3,Medium,Brown Spot
Tomato,Rabi,70.8,35.3,978.7,Medium,Fruit Borer
Soybean,Rabi,71.4,38.0,866.5,Low,None
Soybean,Rabi,44.2,31.1,1305.9,Low,None
Soybean,Zaid,40.4,15.2,1776.8,Low,None
Tomato,Rabi,69.5,35.6,1515.4,Medium,None
Wheat,Kharif,51.2,28.8,496.1,Low,None
Soybean,Rabi,78.4,20.7,677.9,Medium,Rust
Rice,Rabi,76.7,33.7,1841.8,High,Brown Spot
Rice,Rabi,40.7,34.8,709.8,Low,None
Potato,Kharif,74.1,32.1,828.6,Medium,None
Potato,Zaid,52.6,36.9,1266.5,Low,None
Potato,Zaid,67.9,31.5,1246.9,Medium,None
Wheat,Zaid,90.0,33.7,1043.7,Medium,Powdery Mildew
Tomato,Zaid,79.4,34.6,1938.1,Medium,Late Blight
Cotton,Rabi,81.9,37.2,415.9,Medium,Bollworm
Soybean,Kharif,40.6,27.7,1619.8,Medium,Pod Borer
Cotton,Kharif,50.6,26.8,1003.7,Medium,None
Potato,Rabi,52.7,23.7,1014.5,Low,None
Rice,Rabi,81.6,20.2,504.8,Medium,None
Wheat,Rabi,81.9,26.1,708.8,Medium,Rust
Potato,Rabi,59.9,33.8,333.5,Low,None
Rice,Rabi,90.3,24.9,288.7,High,Brown Spot
Tomato,Rabi,44.2,21.0,713.8,Low,None
Tomato,Kharif,41.0,28.5,275.4,Low,None
Potato,Rabi,74.2,25.7,1377.2,High,Late Blight
Potato,Zaid,67.6,37.8,488.1,Low,None
Cotton,Zaid,73.3,26.5,1571.9,High,Bollworm
Potato,Rabi,79.2,30.8,219.9,Low,None
Tomato,Kharif,45.6,16.3,1421.6,Medium,Early Blight
Potato,Zaid,90.8,27.5,1882.7,High,Early Blight
Tomato,Rabi,52.2,17.9,1308.6,Medium,None
Cotton,Rabi,57.0,22.6,1574.1,Low,None
Rice,Kharif,69.5,30.9,1280.5,High,Bacterial Leaf Blight
Wheat,Kharif,85.3,23.4,1366.1,High,Powdery Mildew
Potato,Rabi,79.1,16.0,1823.1,High,Late Blight
Wheat,Zaid,78.8,30.5,1151.0,Medium,None
Tomato,Zaid,55.9,18.0,1237.5,Medium,Fruit Borer
Rice,Rabi,80.8,17.2,262.5,Medium,Brown Spot
Soybean,Kharif,69.7,25.8,1852.3,High,Rust
Potato,Zaid,91.8,34.6,1741.2,High,Early Blight
Soybean,Kharif,40.7,22.6,388.6,Low,None
Rice,Zaid,78.6,15.4,1499.5,High,Brown Spot
Potato,Kharif,82.0,24.5,1869.7,High,Early Blight
Rice,Kharif,94.4,18.9,1108.3,Medium,Brown Spot
Potato,Rabi,71.3,28.3,1268.6,High,Late Blight
Cotton,Zaid,69.9,29.5,1446.2,Medium,Whitefly
Tomato,Kharif,90.6,35.0,1062.0,Medium,Early Blight
Wheat,Kharif,85.1,23.3,491.6,High,Loose Smut
Soybean,Kharif,92.3,27.1,323.4,High,Yellow Mosaic
Cotton,Rabi,52.9,21.1,839.1,Low,None
Cotton,Kharif,72.1,16.1,438.5,Medium,None
Potato,Zaid,91.4,24.6,1623.4,High,Early Blight
Wheat,Kharif,56.5,17.8,398.9,Low,None
Wheat,Kharif,82.5,17.9,1853.9,High,Powdery Mildew
Rice,Kharif,73.5,25.4,1344.9,High,Brown Spot
Tomato,Rabi,51.1,27.6,1299.3,Low,None
Cotton,Zaid,82.2,30.9,713.6,Medium,Whitefly
Cotton,Kharif,92.2,30.1,973.0,High,Whitefly
Tomato,Rabi,44.5,33.6,1288.7,Medium,Early Blight
Potato,Kharif,81.4,28.9,1620.2,High,Late Blight
Rice,Kharif,43.5,17.2,234.2,Low,None
